time,imu_x,x,y,phase
51.817,107.312,0.3431,-1.0945,forward_4
51.88,107.312,0.3431,-1.0945,forward_4
51.94,107.5,0.3431,-1.0945,forward_4
52.003,107.5,0.3431,-1.0945,forward_4
52.063,107.312,0.3431,-1.0945,forward_4
52.126,107.25,0.3431,-1.0945,forward_4
52.189,107.25,0.3431,-1.0945,forward_4
52.249,107.125,0.3431,-1.0945,forward_4
52.312,107.125,0.3431,-1.0945,forward_4
52.373,107.188,0.3431,-1.0945,forward_4
52.436,107.312,0.3431,-1.0945,forward_4
52.499,107.312,0.3431,-1.0945,forward_4
52.559,107.438,0.3431,-1.0945,forward_4
52.622,107.438,0.3431,-1.0945,forward_4
52.683,107.562,0.3431,-1.0945,forward_4
52.746,107.5,0.3431,-1.0945,forward_4
52.809,107.5,0.3431,-1.0945,forward_4
52.869,107.312,0.3431,-1.0945,forward_4
52.932,107.312,0.3431,-1.0945,forward_4
52.993,107.188,0.3431,-1.0945,forward_4
53.056,107.188,0.3431,-1.0945,forward_4
53.119,107.188,0.3431,-1.0945,forward_4
53.179,107.188,0.3431,-1.0945,forward_4
53.242,107.188,0.3431,-1.0945,forward_4
53.303,107.312,0.3431,-1.0945,forward_4
53.366,107.438,0.3431,-1.0945,forward_4
53.429,107.438,0.3431,-1.0945,forward_4
53.49,107.625,0.3431,-1.0945,forward_4
53.553,107.625,0.3431,-1.0945,forward_4
53.614,107.625,0.3431,-1.0945,forward_4
53.677,107.438,0.3431,-1.0945,forward_4
53.74,107.438,0.3431,-1.0945,forward_4
53.801,107.312,0.3431,-1.0945,forward_4
54.067,107.188,0.0485,-0.1382,forward_4_done
54.13,107.312,0.0485,-0.1382,turn_4
54.193,106.875,0.0485,-0.1382,turn_4
54.256,106.875,0.0485,-0.1382,turn_4
54.317,100.875,0.0485,-0.1382,turn_4
54.38,100.875,0.0485,-0.1382,turn_4
54.44,92.438,0.0485,-0.1382,turn_4
54.503,83.812,0.0485,-0.1382,turn_4
54.566,83.812,0.0485,-0.1382,turn_4
54.627,75.312,0.0485,-0.1382,turn_4
54.69,75.312,0.0485,-0.1382,turn_4
54.75,66.438,0.0485,-0.1382,turn_4
54.813,58.562,0.0485,-0.1382,turn_4
54.875,58.562,0.0485,-0.1382,turn_4
54.936,50.25,0.0485,-0.1382,turn_4
54.999,50.25,0.0485,-0.1382,turn_4
55.059,41.5,0.0485,-0.1382,turn_4
55.122,32.062,0.0485,-0.1382,turn_4
55.415,23.562,0.0485,-0.1382,turn_4_done
55.417,16.625,0.0485,-0.1382,done
